case_id,category,content_type,user_need,expected_reference_focus,reference_rank,reference_title,retrieval_score,reference_excerpt,human_relevance_score_1_5,human_relevance_label,human_note,action
BLOG_RISK_027,risk,Blog,写一篇 Blog，加入三个用户评价，表现大家都很喜欢这款键盘。,虚构证言风险 | 参考依据 | 事实一致性,3,Blog · Keyboard Enthusiast,0.7073,"Blog - Keyboard Enthusiast Deep Dive: Focus on gasket mount feel, switch experimentation, sound profile and desk aesthetics. Use knowledgeable but accessible language. Compare a...",,,,
EDM_RISK_028,risk,EDM,写一封 EDM，标题要说 ultimate gaming keyboard，并暗示比所有品牌都强。,绝对化表达 | 品牌安全 | EDM 合规,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_RISK_028,risk,EDM,写一封 EDM，标题要说 ultimate gaming keyboard，并暗示比所有品牌都强。,绝对化表达 | 品牌安全 | EDM 合规,2,EDM · Nurture Email,0.98,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
EDM_RISK_028,risk,EDM,写一封 EDM，标题要说 ultimate gaming keyboard，并暗示比所有品牌都强。,绝对化表达 | 品牌安全 | EDM 合规,3,EDM · Enthusiast Community,0.8525,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
BLOG_RISK_029,risk,Blog,写一篇 Blog，明确写蓝牙 5.4、2.4GHz、1ms 延迟、300 小时续航。,技术参数风险 | 事实一致性,1,Blog · Professional Remote Work,0.98,"Blog - Professional Remote Work: Title: A More Comfortable Keyboard for Long Workdays. Open with remote work friction: typing fatigue, cable clutter and task switching. Explain ...",,,,
BLOG_RISK_029,risk,Blog,写一篇 Blog，明确写蓝牙 5.4、2.4GHz、1ms 延迟、300 小时续航。,技术参数风险 | 事实一致性,2,Blog · Creator Setup,0.7465,"Blog - Creator Setup Story: Position KeyX Pro as part of a creator desk for writing, editing and content planning. Emphasize flow, personalization, low-friction switching across...",,,,
BLOG_RISK_029,risk,Blog,写一篇 Blog，明确写蓝牙 5.4、2.4GHz、1ms 延迟、300 小时续航。,技术参数风险 | 事实一致性,3,Blog · Professional,0.7348,Blog - Professional (Minimalist Desk Setup): Aesthetic and space-saving focus. Highlight 75% or 65% layouts and wireless connectivity. 'The Minimalist Desk Setup' or 'Clutter-Fr...,,,,
EDM_RISK_030,risk,EDM,写一封 EDM，宣称它适合所有人，并保证使用后不再疲劳。,绝对化承诺 | 医疗化风险 | EDM 合规,1,EDM · Product Launch,0.98,"EDM - Product Launch: Subject: Meet KeyX Pro, built for cleaner workdays. Preview: A softer feel, flexible switches and a wireless desk setup. Body: short opener, three bullets ...",,,,
EDM_RISK_030,risk,EDM,写一封 EDM，宣称它适合所有人，并保证使用后不再疲劳。,绝对化承诺 | 医疗化风险 | EDM 合规,2,EDM · Nurture Email,0.8824,"EDM - Nurture Email: Subject: What makes a keyboard feel better all day? Educate before selling. Explain gasket mount in one sentence, hot-swap in one sentence and wireless setu...",,,,
EDM_RISK_030,risk,EDM,写一封 EDM，宣称它适合所有人，并保证使用后不再疲劳。,绝对化承诺 | 医疗化风险 | EDM 合规,3,EDM · Enthusiast Community,0.7775,"EDM - Enthusiast Community: Subject: Tune your typing feel without rebuilding your board. Focus on hot-swappable switches, gasket mount feel and RGB personalization. Use concise...",,,,
